stop_name,route_id
st. peter clavers church,41
st. peter clavers church,47
st. peter clavers church,5
st. peter clavers church,50
st. peter clavers church,52
st. peter clavers church,53
st. peter clavers church,57
st. peter clavers church,9
st. teresah church,11
st. teresah church,14
st. teresah church,22
st. teresah church,3
st. teresah church,32
st. teresah church,33A
st. teresah church,41
st. teresah church,46
st. teresah church,5
st. teresah church,54
st. teresah church,55
st. teresah church,56
st. teresah church,57
st. teresah church,59A
st. teresah church,74
st. teresah church,9
suna road,20
taj mall,19
taj mall,27
taj mall,27A
taj mall,29
taj mall,7
temple road,39
temple road,39A
temple road,66
temple road,68
temple road,69
temple road,70
temple road,71
temple road,72
temple road,73
temple road,74
temple road,75
temple road,76
temple road,76A
temple road,77
temple road,81
temple road,82
temple road,83
temple road,84
temple road,85
temple road,87
temple road,89
temple road,89B
thika road,10
thika road,15
thika road,19
thika road,19A
thika road,21
thika road,24
thika road,25
thika road,35
thika road,40
thika road,41
thika road,42
thika road,6
thika road,62
thika road,68
thika road,75
thika road,77
thika road,78
thika road,79
thika road,8
thika road,80
thika road,81
thika road,82
thika road,87
third parklands avenue,47
third parklands avenue,63
tinganga,87
tom mboya street,21
tom mboya street,34
tom mboya street,39
tom mboya street,43
tom mboya street,44
tom mboya street,45
tom mboya street,47
tom mboya street,50
tom mboya street,52
tom mboya street,59
tom mboya street,59A
tom mboya street,68
tom mboya street,76
tom mboya street,76A
tom mboya street,83
tom mboya street,88
trm mall,10
trm mall,41
trm mall,6
trm mall,62
tusker,2
tusker,33A
tusker,4
tusker,47
tusker,50
tusker,52
tusker,53
uhuru estate,28
uhuru highway,15
uhuru highway,16
uhuru highway,17
uhuru highway,18
uhuru highway,18A
uhuru highway,25
uhuru highway,27A
uhuru highway,30
uhuru highway,37
uhuru highway,37
uhuru highway,38
uhuru highway,38
uhuru highway,41
uhuru highway,43
uhuru highway,44
uhuru highway,45
uhuru highway,45
uhuru highway,46
uhuru highway,49A
uhuru highway,54
uhuru highway,55
uhuru highway,57
uhuru highway,59
uhuru highway,59A
uhuru highway,6
uhuru highway,62
uhuru highway,63
uhuru highway,63A
uhuru highway,67
uhuru highway,69
uhuru highway,7
uhuru highway,70
uhuru highway,72
uhuru highway,73
uhuru highway,8
uhuru highway,86
uhuru highway,89C
uhuru park,18
umoja 2,14
university slip road,67
university way,15
university way,22
university way,30
university way,37
university way,38
university way,43
university way,44
university way,49A
university way,59
university way,59A
university way,6
university way,62
university way,7
university way,8
university way,86
upperhill,13
utawala,19A
uthiru,17
uthiru,83
uyoma street,33A
uyoma street,4
uyoma street,47
uyoma street,50
uyoma street,52
uyoma street tusker,14
uyoma street tusker,28
uyoma street tusker,3
uyoma street tusker,5
uyoma street tusker,57
uyoma street tusker,9
valley arcade,11
valley arcade,12
valley road,11
valley road,12
valley road,5
village market mall,34
village market mall,84
village market mall,85
waiyaka way,18
waiyaki way,15
waiyaki way,16
waiyaki way,17
waiyaki way,22
waiyaki way,30
waiyaki way,37
waiyaki way,38
waiyaki way,40
waiyaki way,43
waiyaki way,44
waiyaki way,45
waiyaki way,46
waiyaki way,49A
waiyaki way,59
waiyaki way,59A
waiyaki way,6
waiyaki way,62
waiyaki way,67
waiyaki way,7
waiyaki way,7
waiyaki way,76A
waiyaki way,8
waiyaki way,86
wangari maathai road,40
wangu avenue,28
wangu avenue,31
wangu avenue,48
wanyee road,14
wanyee road,31
wanyee road,32
waruku,22
waruku,30
waruku,37
waruku,38
waruku,6
waruku,8
western bypass,39
westlands,16
westlands,17
westlands,18
westlands,18A
westlands,22
westlands,26
westlands,30
westlands,37
westlands,38
westlands,39
westlands,39A
westlands,40
westlands,49A
westlands,59
westlands,59A
westlands,6
westlands,67
westlands,76A
westlands,76A
westlands,8
westlands,89C
wilson airport,25
wilson airport,27
wilson airport,27A
wilson airport,72
woodley,20
yaya,11
yaya,12
yaya,26
yaya,5
